QuestionName : What is the question? : A : Answer A : Answer B : Answer C : Answer D
Lawyer : What is the minimum score to be a lawyer? : B : 800 : 1250 : 900 : 1738
CAT0 : What is the minimum score to be a cat0? : B : 800 : 1250 : 900 : 1738
CAT1 : What is the minimum score to be a cat1? : B : 800 : 1250 : 900 : 1738
CAT2 : What is the minimum score to be a cat2? : B : 800 : 1250 : 900 : 1738
CAT3 : What is the minimum score to be a cat3? : B : 800 : 1250 : 900 : 1738
CAT4 : What is the minimum score to be a cat4? : B : 800 : 1250 : 900 : 1738
DOG0 : What is the minimum score to be a dog0? : B : 800 : 1250 : 900 : 1738
DOG1 : What is the minimum score to be a dog1? : B : 800 : 1250 : 900 : 1738
DOG2 : What is the minimum score to be a dog2? : B : 800 : 1250 : 900 : 1738
DOG3 : What is the minimum score to be a dog3? : B : 800 : 1250 : 900 : 1738
DOG4 : What is the minimum score to be a dog4? : B : 800 : 1250 : 900 : 1738
HORSE0 : What is the minimum score to be a horse0? : B : 800 : 1250 : 900 : 1738
HORSE1 : What is the minimum score to be a horse1? : B : 800 : 1250 : 900 : 1738
HORSE2 : What is the minimum score to be a horse2? : B : 800 : 1250 : 900 : 1738
HORSE3 : What is the minimum score to be a horse3? : B : 800 : 1250 : 900 : 1738
HORSE4 : What is the minimum score to be a horse4? : B : 800 : 1250 : 900 : 1738
DUCK0 : What is the minimum score to be a duck0? : B : 800 : 1250 : 900 : 1738
DUCK1 : What is the minimum score to be a duck1? : B : 800 : 1250 : 900 : 1738
DUCK2 : What is the minimum score to be a duck2? : B : 800 : 1250 : 900 : 1738
DUCK3 : What is the minimum score to be a duck3? : B : 800 : 1250 : 900 : 1738
DUCK4 : What is the minimum score to be a duck4? : B : 800 : 1250 : 900 : 1738
FISH0 : What is the minimum score to be a fish0? : B : 800 : 1250 : 900 : 1738
FISH1 : What is the minimum score to be a fish1? : B : 800 : 1250 : 900 : 1738
FISH2 : What is the minimum score to be a fish2? : B : 800 : 1250 : 900 : 1738
FISH3 : What is the minimum score to be a fish3? : B : 800 : 1250 : 900 : 1738
FISH4 : What is the minimum score to be a fish4? : B : 800 : 1250 : 900 : 1738
Priest : What is the minimum score to be a priest? : B : 800 : 1250 : 900 : 1738
